********************************************************************************
LOGGING TIME: 20201015_112325
CLIENT IP: 127.0.1.1
USERNAME: rajesh
OS: Linux
ARCHITECTURE: amd64
VERSION: 5.4.0-48-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 1310, 420, 8
MM, 1269, 418, 7
MM, 1233, 418, 9
MM, 1199, 418, 7
MM, 1167, 418, 9
MM, 1140, 418, 8
MM, 1114, 418, 8
MM, 1093, 418, 8
MM, 1080, 418, 8
MM, 1069, 421, 8
MM, 1064, 421, 8
MM, 1062, 421, 8
MM, 1060, 421, 8
MM, 1059, 422, 8
MM, 1057, 425, 48
MM, 1056, 427, 8
MM, 1055, 431, 8
MM, 1052, 433, 8
MM, 1050, 436, 8
MM, 1049, 440, 8
MM, 1047, 443, 8
MM, 1046, 445, 8
MM, 1046, 446, 8
MM, 1045, 447, 8
MM, 1045, 448, 24
MM, 1045, 448, 48
MM, 1045, 450, 16
MM, 1045, 451, 8
MM, 1045, 453, 8
MM, 1045, 456, 8
MM, 1045, 458, 8
MM, 1045, 461, 8
MM, 1045, 462, 9
MM, 1045, 465, 6
MM, 1045, 466, 16
MM, 1045, 467, 17
MM, 1045, 468, 16
MM, 1047, 469, 8
MM, 1049, 471, 8
MM, 1050, 472, 8
MM, 1053, 472, 8
MM, 1054, 472, 8
MM, 1057, 473, 8
MM, 1058, 473, 8
MM, 1060, 473, 8
MM, 1063, 473, 8
MM, 1064, 473, 8
MM, 1065, 473, 8
MM, 1067, 473, 16
MM, 1068, 473, 16
MM, 1069, 473, 24
MM, 1070, 473, 8
MM, 1072, 473, 16
MM, 1073, 473, 8
MM, 1074, 473, 8
MM, 1075, 474, 8
MM, 1077, 474, 16
MM, 1078, 474, 24
MM, 1079, 474, 8
MM, 1080, 474, 16
MM, 1082, 474, 8
MM, 1084, 476, 8
MM, 1085, 476, 16
MM, 1087, 476, 16
MM, 1088, 476, 16
MM, 1089, 476, 8
MM, 1092, 477, 8
MM, 1095, 477, 8
MM, 1098, 477, 8
MM, 1100, 478, 8
MM, 1102, 478, 8
MM, 1103, 478, 8
MM, 1104, 478, 8
MM, 1105, 478, 8
MP, 1, 177
MR, 1, 103
MC, 1, 0
